Rm 6:10-11,
Rm 6:12,
Rm 6:13,
Rm 6:13,
Rm 6:19,
Rm 11:16-18,
Rm 11:20,
Rm 11:20,
Rm 11:22,
Rm 12:2,
Rm 12:2,
Rm 12:3,
Rm 12:3,
Rm 12:9,
Rm 12:9,
Rm 12:9,
Rm 12:10,
Rm 12:10,
Rm 12:11,
Rm 12:11,
Rm 12:11,
Rm 12:12,
Rm 12:12,
Rm 12:12,
Rm 12:13,
Rm 12:14,
Rm 12:14,
Rm 12:14,
Rm 12:15,
Rm 12:15,
Rm 12:16,
Rm 12:16,
Rm 12:16,
Rm 12:16,
Rm 12:16,
Rm 12:17,
Rm 12:18,
Rm 12:19,
Rm 12:19,
Rm 12:21,
Rm 12:21,
Rm 13:1,
Rm 13:3,
Rm 13:7,
Rm 13:8,
Rm 13:12,
Rm 13:13,
Rm 13:14,
Rm 14:1,
Rm 14:1,
Rm 14:3,
Rm 14:3,
Rm 14:5,
Rm 14:13,
Rm 14:13,
Rm 14:15,
Rm 14:16,
Rm 14:19,
Rm 14:20,
Rm 14:22,
Rm 15:2,
Rm 15:7,
Rm 16:16,
Rm 16:17,
1 Thess 4:18,
1 Thess 5:6,
1 Thess 5:8,
1 Thess 5:11,
1 Thess 5:11,
1 Thess 5:13,
1 Thess 5:27,
2 Thess 2:3,
2 Thess 2:15,
2 Thess 2:15,
2 Thess 3:1,
2 Thess 3:2,
2 Thess 3:13,
2 Thess 3:14,
2 Thess 3:14,
1 Tim 2:11-12,
1 Tim 3:2-4,
1 Tim 3:6,
1 Tim 3:7,
1 Tim 3:8-9,
1 Tim 3:10,
1 Tim 3:10,
1 Tim 3:11,
1 Tim 3:12,
1 Tim 5:9-10,
1 Tim 5:16,
1 Tim 5:17,
1 Tim 6:1,
1 Tim 6:2,
1 Tim 6:2,
1 Tim 6:11,
1 Tim 6:11,
1 Tim 6:11,
1 Tim 6:11,
1 Tim 6:11,
1 Tim 6:11,
1 Tim 6:11,
1 Tim 6:12,
1 Tim 6:12,
1 Tim 6:13,
1 Tim 6:14,
1 Tim 6:17-19,
1 Tim 6:17-19,
1 Tim 6:17-19,
1 Tim 6:17-19,
1 Tim 6:17-19,
1 Tim 6:17-19,
Heb 3:1,
Heb 3:12,
Heb 3:13,
Heb 4:1,
Heb 4:11,
Heb 4:14,
Heb 4:16,
Heb 6:1-3,
Heb 7:4,
Heb 10:22,
Heb 10:23,
Heb 10:24,
Heb 10:25,
Heb 10:25,
Heb 10:32-33,
Heb 10:35,
Heb 12:1-2,
Heb 12:3,
Heb 12:12,
Heb 12:13,
Heb 12:14-16,
Heb 12:25,
Heb 12:28,
Heb 13:1,
Heb 13:2,
Heb 13:3,
Heb 13:4,
Heb 13:4,
Heb 13:5-6,
Heb 13:7,
Heb 13:7,
Heb 13:9,
Heb 13:13-14,
Heb 13:15,
Heb 13:17,
Heb 13:17,
Heb 13:18,
Heb 13:24,
Jc 1:2-3,
Jc 1:5-6,
Jc 1:7,
Jc 1:9,
Jc 1:10,
Jc 1:13,
Jc 1:16,
Jc 1:19,
Jc 1:19,
Jc 1:19,
Jc 1:21,
Jc 1:22,
Jc 1:22,
Jc 2:12,
Jc 2:12,
Jc 3:1,
Jc 3:14,
Jc 3:14,
Jc 4:7,
Jc 4:7,
Jc 4:8,
Jc 4:8,
Jc 4:8,
Jc 4:9,
Jc 4:9,
Jc 4:9,
Jc 4:10,
Jc 4:11,
Jc 5:1,
Jc 5:7,
Jc 5:8,
Jc 5:9,
Jc 5:10,
Jc 5:12,
Jc 5:12,
Jc 5:12,
Jc 5:12,
Jc 5:12,
Jc 5:16,
Jc 5:16,
Jc 5:20,
